City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,mar del plata,-38.0023,-57.5575,84.83,54,0,10.36,AR,1675878293
203,pochutla,15.7432,-96.4661,86.83,28,0,9.28,MX,1675878518
204,pali,25.7667,73.3333,69.94,21,34,7.81,IN,1675878519
205,leavenworth,39.2333,-95.0336,44.98,64,66,1.01,US,1675878519
206,hamilton,39.1834,-84.5333,52.21,60,0,4.0,US,1675877725
207,phan thiet,10.9333,108.1,73.87,86,30,8.9,VN,1675878520
208,nuuk,64.1835,-51.7216,16.41,79,100,25.32,GL,1675878520
209,quatre cocos,-20.2078,57.7625,80.1,79,86,10.89,MU,1675878520
210,romanovka,51.7443,42.7527,2.52,100,55,4.7,RU,1675878521
211,cabo san lucas,22.8909,-109.9124,77.61,36,0,1.99,MX,1675878360
212,esperance,-33.8667,121.9,63.55,88,25,10.16,AU,1675878521
213,hoquiam,46.9809,-123.8893,44.92,93,0,5.75,US,1675878417
214,muisne,0.6,-80.0333,82.53,71,59,9.82,EC,1675878522
215,sola,-13.8833,167.55,78.55,80,100,3.96,VU,1675878522
216,tautira,-17.7333,-149.15,79.7,74,28,7.83,PF,1675878522
217,semey,50.4111,80.2275,3.7,97,96,3.62,KZ,1675878523
218,erenhot,43.6475,111.9767,21.04,42,100,6.58,CN,1675878523
219,chichimila,20.6167,-88.2167,84.25,45,10,8.84,MX,1675878523
220,greenville,35.6127,-77.3663,69.84,42,0,8.05,US,1675878221
221,cordoba,-31.4135,-64.1811,85.05,39,40,6.91,AR,1675878454
222,oranjestad,12.524,-70.027,84.15,65,40,24.16,AW,1675878282
223,toora-khem,52.4675,96.11,3.02,98,100,0.81,RU,1675878524
224,nome,64.5011,-165.4064,-2.13,78,100,0.0,US,1675878524
225,georgetown,5.4112,100.3354,80.53,94,20,2.3,MY,1675878454
226,margate,51.3813,1.3862,41.9,63,32,1.99,GB,1675878486
227,arica,-18.475,-70.3042,87.35,65,0,13.8,CL,1675878431
228,mahebourg,-20.4081,57.7,80.26,78,40,4.61,MU,1675878525
229,inirida,3.8653,-67.9239,82.26,74,83,0.81,CO,1675878351
230,vestmanna,62.1564,-7.1664,36.52,65,75,16.11,FO,1675878526
231,kedrovyy,56.1667,91.8167,10.87,98,100,4.36,RU,1675878526
